"REF_DATE","GEO","DGUID","Gender","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-07","Canada (excluding territories)","2016A000011124","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411206","1.1.1.1","51.9","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411206","1.1.1.1","53.5","","","","1"
"2024-07","Canada (excluding territories)","2016A000011124","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411212","1.1.2.1","34.1","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411212","1.1.2.1","33.5","","","","1"
"2024-07","Canada (excluding territories)","2016A000011124","Total, all persons","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411218","1.1.3.1","14.0","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Total, all persons","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411218","1.1.3.1","13.0","","","","1"
"2024-07","Canada (excluding territories)","2016A000011124","Men","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411224","1.2.1.1","50.8","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Men","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411224","1.2.1.1","53.8","","","","1"
"2024-07","Canada (excluding territories)","2016A000011124","Men","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411230","1.2.2.1","35.2","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Men","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411230","1.2.2.1","33.5","","","","1"
"2024-07","Canada (excluding territories)","2016A000011124","Men","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411236","1.2.3.1","13.9","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Men","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411236","1.2.3.1","12.7","","","","1"
"2024-07","Canada (excluding territories)","2016A000011124","Women","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411242","1.3.1.1","53.0","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Women","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411242","1.3.1.1","53.3","","","","1"
"2024-07","Canada (excluding territories)","2016A000011124","Women","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411248","1.3.2.1","32.9","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Women","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411248","1.3.2.1","33.5","","","","1"
"2024-07","Canada (excluding territories)","2016A000011124","Women","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411254","1.3.3.1","14.1","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Women","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411254","1.3.3.1","13.3","","","","1"
"2024-07","Atlantic Region","2016A00011","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411260","2.1.1.1","54.4","","","","1"
"2024-10","Atlantic Region","2016A00011","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411260","2.1.1.1","55.4","","","","1"
"2024-07","Atlantic Region","2016A00011","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411266","2.1.2.1","31.0","","","","1"
"2024-10","Atlantic Region","2016A00011","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411266","2.1.2.1","30.4","","","","1"
"2024-07","Atlantic Region","2016A00011","Total, all persons","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411272","2.1.3.1","14.6","","","","1"
"2024-10","Atlantic Region","2016A00011","Total, all persons","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411272","2.1.3.1","14.3","","","","1"
"2024-07","Atlantic Region","2016A00011","Men","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411278","2.2.1.1","53.1","","","","1"
"2024-10","Atlantic Region","2016A00011","Men","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411278","2.2.1.1","54.9","","","","1"
"2024-07","Atlantic Region","2016A00011","Men","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411284","2.2.2.1","32.5","","","","1"
"2024-10","Atlantic Region","2016A00011","Men","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411284","2.2.2.1","31.7","","","","1"
"2024-07","Atlantic Region","2016A00011","Men","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411290","2.2.3.1","14.5","","","","1"
"2024-10","Atlantic Region","2016A00011","Men","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411290","2.2.3.1","13.3","","","","1"
"2024-07","Atlantic Region","2016A00011","Women","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411296","2.3.1.1","55.6","","","","1"
"2024-10","Atlantic Region","2016A00011","Women","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411296","2.3.1.1","55.8","","","","1"
"2024-07","Atlantic Region","2016A00011","Women","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411302","2.3.2.1","29.6","","","","1"
"2024-10","Atlantic Region","2016A00011","Women","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411302","2.3.2.1","29.1","","","","1"
"2024-07","Atlantic Region","2016A00011","Women","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411308","2.3.3.1","14.7","","","","1"
