"REF_DATE","GEO","DGUID","Measures","Sex","Age group","Categories","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 5 to 17","Meeting guidelines","Estimate","Percent","239","units","0","v1278508499","1.1.1.1.1.1","","..","","","1"
"2011","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 5 to 17","Meeting guidelines","Estimate","Percent","239","units","0","v1278508499","1.1.1.1.1.1","","..","","","1"
"2013","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 5 to 17","Meeting guidelines","Estimate","Percent","239","units","0","v1278508499","1.1.1.1.1.1","42.2","","","","1"
"2015","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 5 to 17","Meeting guidelines","Estimate","Percent","239","units","0","v1278508499","1.1.1.1.1.1","37.6","","","","1"
"2017","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 5 to 17","Meeting guidelines","Estimate","Percent","239","units","0","v1278508499","1.1.1.1.1.1","39.2","","","","1"
"2019","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 5 to 17","Meeting guidelines","Estimate","Percent","239","units","0","v1278508499","1.1.1.1.1.1","43.9","","","","1"
"2009","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 5 to 17","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508502","1.1.1.1.2.1","","..","","","1"
"2011","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 5 to 17","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508502","1.1.1.1.2.1","","..","","","1"
"2013","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 5 to 17","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508502","1.1.1.1.2.1","57.8","","","","1"
"2015","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 5 to 17","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508502","1.1.1.1.2.1","62.4","","","","1"
"2017","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 5 to 17","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508502","1.1.1.1.2.1","60.8","","","","1"
"2019","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 5 to 17","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508502","1.1.1.1.2.1","56.1","","","","1"
"2009","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 6 to 17","Meeting guidelines","Estimate","Percent","239","units","0","v1278508505","1.1.1.2.1.1","41.4","","","","1"
"2011","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 6 to 17","Meeting guidelines","Estimate","Percent","239","units","0","v1278508505","1.1.1.2.1.1","29.6","","","","1"
"2013","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 6 to 17","Meeting guidelines","Estimate","Percent","239","units","0","v1278508505","1.1.1.2.1.1","40.1","","","","1"
"2015","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 6 to 17","Meeting guidelines","Estimate","Percent","239","units","0","v1278508505","1.1.1.2.1.1","34.0","","","","1"
"2017","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 6 to 17","Meeting guidelines","Estimate","Percent","239","units","0","v1278508505","1.1.1.2.1.1","36.7","","","","1"
"2019","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 6 to 17","Meeting guidelines","Estimate","Percent","239","units","0","v1278508505","1.1.1.2.1.1","42.3","","","","1"
"2009","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 6 to 17","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508508","1.1.1.2.2.1","58.6","","","","1"
"2011","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 6 to 17","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508508","1.1.1.2.2.1","70.4","","","","1"
"2013","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 6 to 17","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508508","1.1.1.2.2.1","59.9","","","","1"
"2015","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 6 to 17","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508508","1.1.1.2.2.1","66.0","","","","1"
"2017","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 6 to 17","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508508","1.1.1.2.2.1","63.3","","","","1"
"2019","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 6 to 17","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508508","1.1.1.2.2.1","57.7","","","","1"
"2009","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 79","Meeting guidelines","Estimate","Percent","239","units","0","v1278508511","1.1.1.3.1.1","45.0","","","","1"
"2011","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 79","Meeting guidelines","Estimate","Percent","239","units","0","v1278508511","1.1.1.3.1.1","34.9","","","","1"
"2013","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 79","Meeting guidelines","Estimate","Percent","239","units","0","v1278508511","1.1.1.3.1.1","43.4","","","","1"
"2015","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 79","Meeting guidelines","Estimate","Percent","239","units","0","v1278508511","1.1.1.3.1.1","41.8","","","","1"
"2017","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 79","Meeting guidelines","Estimate","Percent","239","units","0","v1278508511","1.1.1.3.1.1","44.7","","","","1"
"2019","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 79","Meeting guidelines","Estimate","Percent","239","units","0","v1278508511","1.1.1.3.1.1","49.2","","","","1"
"2009","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 79","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508514","1.1.1.3.2.1","55.0","","","","1"
"2011","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 79","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508514","1.1.1.3.2.1","65.1","","","","1"
"2013","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 79","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508514","1.1.1.3.2.1","56.6","","","","1"
