"REF_DATE","GEO","DGUID","Gender","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-04","Canada (excluding territories)","2016A000011124","Total, all persons","Very strong or somewhat strong sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742059","1.1.1.1","71.9","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Total, all persons","Very strong or somewhat strong sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742059","1.1.1.1","80.2","","","","1"
"2022-04","Canada (excluding territories)","2016A000011124","Total, all persons","Somewhat weak or very weak sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742065","1.1.2.1","20.0","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Total, all persons","Somewhat weak or very weak sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742065","1.1.2.1","13.6","","","","1"
"2022-04","Canada (excluding territories)","2016A000011124","Total, all persons","No opinion on sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742071","1.1.3.1","8.2","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Total, all persons","No opinion on sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742071","1.1.3.1","6.2","","","","1"
"2022-04","Canada (excluding territories)","2016A000011124","Men","Very strong or somewhat strong sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742077","1.2.1.1","71.6","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Men","Very strong or somewhat strong sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742077","1.2.1.1","78.5","","","","1"
"2022-04","Canada (excluding territories)","2016A000011124","Men","Somewhat weak or very weak sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742083","1.2.2.1","21.5","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Men","Somewhat weak or very weak sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742083","1.2.2.1","15.3","","","","1"
"2022-04","Canada (excluding territories)","2016A000011124","Men","No opinion on sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742089","1.2.3.1","6.9","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Men","No opinion on sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742089","1.2.3.1","6.2","","","","1"
"2022-04","Canada (excluding territories)","2016A000011124","Women","Very strong or somewhat strong sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742095","1.3.1.1","72.1","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Women","Very strong or somewhat strong sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742095","1.3.1.1","82.0","","","","1"
"2022-04","Canada (excluding territories)","2016A000011124","Women","Somewhat weak or very weak sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742101","1.3.2.1","18.5","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Women","Somewhat weak or very weak sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742101","1.3.2.1","11.8","","","","1"
"2022-04","Canada (excluding territories)","2016A000011124","Women","No opinion on sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742107","1.3.3.1","9.4","","","","1"
"2024-10","Canada (excluding territories)","2016A000011124","Women","No opinion on sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742107","1.3.3.1","6.2","","","","1"
"2022-04","Atlantic Region","2016A00011","Total, all persons","Very strong or somewhat strong sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742113","2.1.1.1","77.3","","","","1"
"2024-10","Atlantic Region","2016A00011","Total, all persons","Very strong or somewhat strong sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742113","2.1.1.1","84.4","","","","1"
"2022-04","Atlantic Region","2016A00011","Total, all persons","Somewhat weak or very weak sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742119","2.1.2.1","14.1","","","","1"
"2024-10","Atlantic Region","2016A00011","Total, all persons","Somewhat weak or very weak sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742119","2.1.2.1","8.6","","","","1"
"2022-04","Atlantic Region","2016A00011","Total, all persons","No opinion on sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742125","2.1.3.1","8.6","","","","1"
"2024-10","Atlantic Region","2016A00011","Total, all persons","No opinion on sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742125","2.1.3.1","7.0","","","","1"
"2022-04","Atlantic Region","2016A00011","Men","Very strong or somewhat strong sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742131","2.2.1.1","75.8","","","","1"
"2024-10","Atlantic Region","2016A00011","Men","Very strong or somewhat strong sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742131","2.2.1.1","83.2","","","","1"
"2022-04","Atlantic Region","2016A00011","Men","Somewhat weak or very weak sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742137","2.2.2.1","16.7","","","","1"
"2024-10","Atlantic Region","2016A00011","Men","Somewhat weak or very weak sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1427742137","2.2.2.1","10.8","","","","1"
