"REF_DATE","GEO","DGUID","Gender","Sociodemographic characteristics","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, 15 years and over","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748536","1.1.4.1.1","47.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, 15 years and over","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748542","1.1.4.2.1","33.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, 15 years and over","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427748548","1.1.4.3.1","19.6","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","15 to 24 years","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748554","1.1.5.1.1","39.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","15 to 24 years","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748560","1.1.5.2.1","32.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","15 to 24 years","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427748566","1.1.5.3.1","29.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","25 to 54 years","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748572","1.1.6.1.1","42.8","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","25 to 54 years","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748578","1.1.6.2.1","34.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","25 to 54 years","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427748584","1.1.6.3.1","22.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","55 to 64 years","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748644","1.1.10.1.1","52.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","55 to 64 years","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748650","1.1.10.2.1","31.8","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","55 to 64 years","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427748656","1.1.10.3.1","16.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","65 years and over","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748662","1.1.11.1.1","58.8","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","65 years and over","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748668","1.1.11.2.1","31.1","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","65 years and over","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427748674","1.1.11.3.1","10.2","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, by immigrant status","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748716","1.1.14.1.1","47.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, by immigrant status","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748722","1.1.14.2.1","33.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, by immigrant status","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427748728","1.1.14.3.1","19.6","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Non-immigrants","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748734","1.1.15.1.1","46.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Non-immigrants","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748740","1.1.15.2.1","32.8","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Non-immigrants","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427748746","1.1.15.3.1","20.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Immigrants","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748752","1.1.16.1.1","49.4","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Immigrants","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748758","1.1.16.2.1","33.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Immigrants","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427748764","1.1.16.3.1","17.1","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Non-permanent residents","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748824","1.1.20.1.1","35.6","E","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Non-permanent residents","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748830","1.1.20.2.1","37.5","E","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Non-permanent residents","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427748836","1.1.20.3.1","27.0","E","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, by visible minority group","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748842","1.1.21.1.1","47.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, by visible minority group","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748848","1.1.21.2.1","33.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, by visible minority group","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427748854","1.1.21.3.1","19.6","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Visible minority population","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748860","1.1.22.1.1","44.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Visible minority population","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748866","1.1.22.2.1","34.6","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Visible minority population","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427748872","1.1.22.3.1","20.9","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Not a visible minority","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749094","1.1.35.1.1","48.4","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Not a visible minority","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749100","1.1.35.2.1","32.4","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Not a visible minority","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749106","1.1.35.3.1","19.2","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, by Indigenous identity","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749112","1.1.36.1.1","47.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, by Indigenous identity","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749118","1.1.36.2.1","33.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, by Indigenous identity","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749124","1.1.36.3.1","19.6","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Indigenous identity","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749130","1.1.37.1.1","38.9","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Indigenous identity","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749136","1.1.37.2.1","35.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Indigenous identity","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749142","1.1.37.3.1","26.1","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Non-Indigenous identity","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749238","1.1.43.1.1","47.6","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Non-Indigenous identity","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749244","1.1.43.2.1","33.0","","","","1"
